"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"150","Red Lake County, Minnesota",2014,"2080","1991","5.4","4.1","5.1","75.4"
"151","Redwood County, Minnesota",2014,"7951","7883","6.7","4.5","5.0","75.6"
"152","Renville County, Minnesota",2014,"7754","7572","6.3","5.0","4.7","77.5"
"153","Rice County, Minnesota",2014,"32934","31895","9.1","9.9","5.4","77.2"
"154","Rock County, Minnesota",2014,"4664","4923","6.7","4.1","4.6","74.9"
"155","Roseau County, Minnesota",2014,"7925","7620","7.6","4.6","4.6","74.6"
"156","St. Louis County, Minnesota",2014,"100738","99825","7.1","9.0","6.0","80.6"
"157","Scott County, Minnesota",2014,"67314","67815","7.0","4.7","5.8","70.6"
"158","Sherburne County, Minnesota",2014,"45962","43808","7.3","5.8","6.4","71.9"
"159","Sibley County, Minnesota",2014,"7598","7498","6.4","4.9","5.2","75.0"
"160","Stearns County, Minnesota",2014,"76411","75317","8.6","10.9","6.5","77.1"
"161","Steele County, Minnesota",2014,"17940","18532","6.5","5.4","5.9","74.2"
"162","Stevens County, Minnesota",2014,"4844","4904","10.2","13.3","5.5","78.8"
"163","Swift County, Minnesota",2014,"4853","4749","6.2","5.3","4.8","78.7"
"164","Todd County, Minnesota",2014,"12622","11966","7.1","5.1","4.9","75.6"
"165","Traverse County, Minnesota",2014,"1725","1730","6.5","4.1","3.7","78.8"
"166","Wabasha County, Minnesota",2014,"10807","10678","6.3","4.7","5.2","77.3"
"167","Wadena County, Minnesota",2014,"6837","6917","6.4","5.0","4.8","75.9"
"168","Waseca County, Minnesota",2014,"9037","10090","5.8","5.0","6.5","76.1"
"169","Washington County, Minnesota",2014,"120650","123453","7.1","5.2","5.8","74.2"
"170","Watonwan County, Minnesota",2014,"5621","5530","6.5","5.4","5.3","75.3"
"171","Wilkin County, Minnesota",2014,"3328","3233","6.5","4.4","4.6","76.4"
"172","Winona County, Minnesota",2014,"25128","26157","9.9","14.4","6.0","81.4"
"173","Wright County, Minnesota",2014,"64133","63253","6.9","4.6","6.0","70.7"
"174","Yellow Medicine County, Minnesota",2014,"5228","5005","6.7","5.0","5.6","76.5"
