"","CTYNAME","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","YEAR"
"148","Pope County, Minnesota","11064","10938","22","40","57","7",2010
"149","Ramsey County, Minnesota","503113","434406","448","2710","28700","36849",2010
"150","Red Lake County, Minnesota","4094","4026","0","12","24","32",2010
"151","Redwood County, Minnesota","16069","15668","12","54","135","200",2010
"152","Renville County, Minnesota","16007","15535","18","28","153","273",2010
"153","Rice County, Minnesota","63087","58939","6","314","1271","2557",2010
"154","Rock County, Minnesota","9606","9454","15","25","53","59",2010
"155","Roseau County, Minnesota","15864","15417","0","97","205","145",2010
"156","St. Louis County, Minnesota","199472","194758","67","857","2167","1623",2010
"157","Scott County, Minnesota","126139","115106","48","589","5051","5345",2010
"158","Sherburne County, Minnesota","86823","84324","32","300","1016","1151",2010
"159","Sibley County, Minnesota","15219","14617","0","45","126","431",2010
"160","Stearns County, Minnesota","147927","141558","61","498","2204","3606",2010
"161","Steele County, Minnesota","36434","34954","0","174","681","625",2010
"162","Stevens County, Minnesota","9711","9357","0","30","72","252",2010
"163","Swift County, Minnesota","9946","9698","4","38","63","143",2010
"164","Todd County, Minnesota","24804","23824","0","141","199","640",2010
"165","Traverse County, Minnesota","3657","3577","0","0","35","45",2010
"166","Wabasha County, Minnesota","21743","21304","15","72","188","164",2010
"167","Wadena County, Minnesota","13809","13615","0","60","44","90",2010
"168","Waseca County, Minnesota","19168","18607","16","57","89","399",2010
"169","Washington County, Minnesota","232536","216901","192","1187","8226","6030",2010
"170","Watonwan County, Minnesota","11212","9812","0","60","156","1184",2010
"171","Wilkin County, Minnesota","6636","6577","2","19","22","16",2010
"172","Winona County, Minnesota","51304","49412","5","244","718","925",2010
"173","Wright County, Minnesota","120764","117120","62","347","1450","1785",2010
"174","Yellow Medicine County, Minnesota","10514","10352","0","19","48","95",2010
