"","CTYNAME","YEAR","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"116","Hubbard County, Minnesota",2014,"5.9","3.9","4.3","78.6"
"117","Isanti County, Minnesota",2014,"6.8","5.4","6.2","74.8"
"118","Itasca County, Minnesota",2014,"6.1","4.9","4.8","78.5"
"119","Jackson County, Minnesota",2014,"6.1","5.0","5.4","77.6"
"120","Kanabec County, Minnesota",2014,"6.4","4.9","5.1","77.3"
"121","Kandiyohi County, Minnesota",2014,"6.3","7.0","5.8","76.3"
"122","Kittson County, Minnesota",2014,"6.3","4.2","3.6","77.9"
"123","Koochiching County, Minnesota",2014,"6.1","4.3","4.7","79.9"
"124","Lac qui Parle County, Minnesota",2014,"6.0","3.6","4.2","79.1"
"125","Lake County, Minnesota",2014,"4.9","4.2","5.2","81.5"
"126","Lake of the Woods County, Minnesota",2014,"6.6","4.1","2.5","80.3"
"127","Le Sueur County, Minnesota",2014,"6.3","5.0","5.5","75.3"
"128","Lincoln County, Minnesota",2014,"5.5","4.2","4.5","77.9"
"129","Lyon County, Minnesota",2014,"7.6","8.9","6.8","75.6"
"130","McLeod County, Minnesota",2014,"6.3","5.3","5.8","75.5"
"131","Mahnomen County, Minnesota",2014,"6.0","6.0","5.0","69.7"
"132","Marshall County, Minnesota",2014,"6.2","4.4","5.2","76.9"
"133","Martin County, Minnesota",2014,"6.0","4.5","5.0","78.2"
"134","Meeker County, Minnesota",2014,"6.4","4.7","5.2","75.1"
"135","Mille Lacs County, Minnesota",2014,"6.4","5.1","5.8","75.2"
"136","Morrison County, Minnesota",2014,"6.5","5.1","5.5","76.0"
"137","Mower County, Minnesota",2014,"6.7","6.0","5.4","74.9"
"138","Murray County, Minnesota",2014,"6.2","3.9","4.4","78.5"
"139","Nicollet County, Minnesota",2014,"8.3","9.0","7.4","77.7"
"140","Nobles County, Minnesota",2014,"7.8","5.9","6.3","74.0"
"141","Norman County, Minnesota",2014,"7.1","4.2","4.1","76.8"
"142","Olmsted County, Minnesota",2014,"6.1","5.4","7.6","75.1"
"143","Otter Tail County, Minnesota",2014,"6.0","4.7","4.7","78.6"
"144","Pennington County, Minnesota",2014,"6.4","6.4","6.9","76.5"
"145","Pine County, Minnesota",2014,"5.6","5.0","5.7","78.7"
"146","Pipestone County, Minnesota",2014,"6.4","4.8","5.1","75.4"
"147","Polk County, Minnesota",2014,"7.1","6.9","6.2","76.5"
"148","Pope County, Minnesota",2014,"5.7","4.4","5.3","78.6"
"149","Ramsey County, Minnesota",2014,"6.9","8.2","8.6","76.7"
"150","Red Lake County, Minnesota",2014,"5.4","4.1","5.1","75.4"
"151","Redwood County, Minnesota",2014,"6.7","4.5","5.0","75.6"
"152","Renville County, Minnesota",2014,"6.3","5.0","4.7","77.5"
"153","Rice County, Minnesota",2014,"9.1","9.9","5.4","77.2"
"154","Rock County, Minnesota",2014,"6.7","4.1","4.6","74.9"
"155","Roseau County, Minnesota",2014,"7.6","4.6","4.6","74.6"
"156","St. Louis County, Minnesota",2014,"7.1","9.0","6.0","80.6"
"157","Scott County, Minnesota",2014,"7.0","4.7","5.8","70.6"
"158","Sherburne County, Minnesota",2014,"7.3","5.8","6.4","71.9"
"159","Sibley County, Minnesota",2014,"6.4","4.9","5.2","75.0"
"160","Stearns County, Minnesota",2014,"8.6","10.9","6.5","77.1"
"161","Steele County, Minnesota",2014,"6.5","5.4","5.9","74.2"
"162","Stevens County, Minnesota",2014,"10.2","13.3","5.5","78.8"
"163","Swift County, Minnesota",2014,"6.2","5.3","4.8","78.7"
"164","Todd County, Minnesota",2014,"7.1","5.1","4.9","75.6"
"165","Traverse County, Minnesota",2014,"6.5","4.1","3.7","78.8"
"166","Wabasha County, Minnesota",2014,"6.3","4.7","5.2","77.3"
"167","Wadena County, Minnesota",2014,"6.4","5.0","4.8","75.9"
"168","Waseca County, Minnesota",2014,"5.8","5.0","6.5","76.1"
"169","Washington County, Minnesota",2014,"7.1","5.2","5.8","74.2"
"170","Watonwan County, Minnesota",2014,"6.5","5.4","5.3","75.3"
"171","Wilkin County, Minnesota",2014,"6.5","4.4","4.6","76.4"
"172","Winona County, Minnesota",2014,"9.9","14.4","6.0","81.4"
"173","Wright County, Minnesota",2014,"6.9","4.6","6.0","70.7"
"174","Yellow Medicine County, Minnesota",2014,"6.7","5.0","5.6","76.5"
