"","X1","CTYNAME","X1.x","VOTE_ELIGIBLE","OCC.Professional","OCC.Education","OCC.Information","OCC.Finance","OCC.Manufacturing","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","INCOME.HC01_EST_VC13","INCOME.HC01_EST_VC02","AGE2024_TOTAL","AGE2529_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_MALE","AGE2529_FEMALE","percent_citizen","percent_citizen_abroad","percent_citizen_naturalized","percent_citizen_not","percent_black","percent_white","percent_indian","percent_asian","YEAR.x","OCC.PublicAdmin","EMPLOY.HC04_EST_VC01","percent_female","X1.y","SOCIALCAP.assn2014","YEAR.y","median_income1000","predict.model.e3..newdata...current_data..allow.new.levels...TRUE.","Vote_Number","State"
"18",18,"crow wing",18,49160.6000000001,0.0765731929001263,0.246253011633591,0.0223269910759387,0.0590082591506735,0.0924477553759495,28.4499999999998,6.55000000000001,52167.1000000003,4.89999999999992,5.45000000000001,5.05000000000001,5.45,5.35,4.89999999999998,5.25,0.978071948899406,0.00393405269794428,0.0104723033381537,0.00743452824104773,0.00607764764399227,0.954956245816563,0.0116996474722462,0.00450516873142892,2018,0.0394507717831264,4.55000000000007,0.499317062863741,18,1.61341347674786,2018,52.1671000000003,0.587379977541063,28875.9521239052,"Minnesota"
"19",19,"dakota",19,296417.866666667,0.116242179063143,0.22511600838688,0.0264520041128033,0.0971488199529171,0.110884780121816,28.6,13.1933333333334,77409.0000000001,3.02666666666668,5.40000000000001,6.47333333333334,5.58666666666666,5.24666666666668,6.68,6.3,0.899212119626156,0.0081461625582484,0.0501700302580872,0.0408621531677442,0.0571044405791197,0.830924583692244,0.00310346135548173,0.047657400418222,2018,0.0409405371012028,5.68000000000001,0.510219386849482,19,0.834582781392686,2018,77.4090000000001,0.534443177818822,158418.506623609,"Minnesota"
"20",20,"dodge",20,14824,0.0423787225942935,0.334212715816876,0.0092041147807255,0.0290909785370159,0.136986028717088,34.1500000000001,8.39999999999998,70792.5,2.90000000000001,5.55000000000001,4.75000000000006,5.70000000000002,5.50000000000006,4.60000000000002,4.90000000000001,0.976583310158516,0.00149176071899071,0.0056967330629899,0.0128576443664224,0.00323503338506359,0.954058702279379,0.00263602900237248,0.00883708867561128,2018,0.0328319996097593,3.35000000000001,0.498166077885086,20,1.72015530545044,2018,70.7925,0.512078201729495,7591.04726243804,"Minnesota"
"21",21,"douglas",21,28869.5000000001,0.0736066556039265,0.232170969388191,0.0125164343938996,0.0623429284081536,0.152338792160632,16.3999999999996,12.5000000000002,58298.2000000007,6.47000000000006,5.44999999999999,5.44999999999999,5.90000000000003,4.89999999999999,5.65000000000001,5.3,0.983078057852796,0.00551765551957273,0.00879362702343989,0.00229517284301739,0.00571436937197958,0.966799384499732,0.00372442007120816,0.00212732487616508,2018,0.031787836584757,3.94999999999999,0.501137219321854,21,2.17403119734768,2018,58.2982000000007,0.553590982261308,15981.8948623929,"Minnesota"
"22",22,"faribault",22,10740.5,0.0394306157875046,0.219602544701977,0.0225212464589235,0.0481229677735147,0.166214263604674,35.9999999999999,9.70000000000005,51086,7.35,4.45,5.09999999999999,4.79999999999998,4.1,5.25,5.10000000000002,0.972606450096888,0.00326557563389343,0.0105652605297073,0.0134187919856288,0.0020466658266256,0.99059782794634,0.000834674230140831,0.00339237019662337,2018,0.0327435187610474,3.10000000000002,0.496597623581576,22,3.10822266176886,2018,51.086,0.54843159418881,5890.42953738492,"Minnesota"
"23",23,"fillmore",23,15640.6,0.0426965008133482,0.324391904786282,0.0190619986788714,0.0383480767190496,0.105564131903405,25.8999999999996,6.14999999999998,56440.6000000001,4.87999999999994,5.05,4.45000000000002,5.30000000000001,4.84999999999999,4.64999999999998,4.29999999999998,0.982102424590444,0.00511959821575116,0.00382640543452278,0.00883178253426387,0.0041789299271679,0.984985207755715,0.000771526025739933,0.00436788438006103,2018,0.0339742666208299,3.29999999999995,0.496803112726135,23,3.21929655967711,2018,56.4406000000001,0.548137925714555,8573.20604093107,"Minnesota"
"24",24,"freeborn",24,23329.0999999999,0.0523984667332724,0.226798698385137,0.0132198952879581,0.0364074414297304,0.182752176400131,38,5.89999999999998,48505.9000000001,4.68999999999994,5.55000000000001,5.25,5.2,5.89999999999998,5.7,4.80000000000001,0.956026171128584,0.00429010415757181,0.0128774445388695,0.0267418347280453,0.0132566389427167,0.952598410163006,0.00288072150875662,0.0143304995739504,2018,0.0255845727296244,5.10000000000002,0.502811671316509,24,1.98122706161291,2018,48.5059000000001,0.538045074838339,12552.107355411,"Minnesota"
"25",25,"goodhue",25,35103.5,0.0748463498551013,0.246689862655545,0.0160647623841282,0.0435237605413769,0.160936154234367,41.6999999999998,12.95,60134.9,5.02999999999997,5.30000000000001,5.19999999999999,5.55,5,5.25,5.15,0.964097952589329,0.00372282554442094,0.0125223546429631,0.0193880203295169,0.0120459016529076,0.949280002863283,0.0112749763063955,0.00524997469786945,2018,0.0411519588203837,5,0.49918555661768,25,2.02695417789757,2018,60.1349,0.552003110913696,19377.2412039589,"Minnesota"
"26",26,"grant",26,4593.5,0.0547540067467431,0.253634861059279,0.0107676276484891,0.0457569228994854,0.102854575658514,38.9000000000001,14.3499999999999,57795.5,3.44999999999993,4.6,4.15000000000003,4.60000000000001,4.55,4.10000000000002,4.30000000000001,0.98971546917969,0.00171489456308438,0.00630715764231704,0.00226247861490858,0.000345195617579064,0.98302612941818,0.00439800215616037,0.0012110730767646,2018,0.0388727953584627,4.45000000000002,0.500280756777704,26,3.18311274920422,2018,57.7955,0.612637607552338,2814.15085029167,"Minnesota"
"27",27,"hennepin",27,875950.733333332,0.148840737341844,0.245575891877793,0.0221151737437138,0.093226799220115,0.116053883401014,19.8066666666667,21.16,68934.333333333,6.02666666666667,7.06666666666666,10.0333333333334,7.11999999999998,7.09333333333331,10.1400000000001,10.02,0.853852424028609,0.0088396531305111,0.066685267742923,0.0698965111255343,0.129127090845113,0.729361231921931,0.00686519115851966,0.0720706833213995,2018,0.0240718060411411,6.54666666666665,0.509745253933646,27,1.08242162137189,2018,68.934333333333,0.504622726152125,442024.647029619,"Minnesota"
