"","YEAR","CTYNAME","TOTVOTERS","MIDTERM"
"274",2006,"scott",47132,1
"275",2010,"scott",47991,1
"276",2014,"scott",45324,1
"277",2002,"sherburne",30012,1
"278",2006,"sherburne",32046,1
"279",2010,"sherburne",33092,1
"280",2014,"sherburne",30638,1
"281",2002,"sibley",7204,1
"282",2006,"sibley",6397,1
"283",2010,"sibley",6014,1
"284",2014,"sibley",6086,1
"285",2002,"stearns",57951,1
"286",2006,"stearns",57589,1
"287",2010,"stearns",55815,1
"288",2014,"stearns",51662,1
"289",2002,"steele",15819,1
"290",2006,"steele",15358,1
"291",2010,"steele",14850,1
"292",2014,"steele",12645,1
"293",2002,"stevens",5492,1
"294",2006,"stevens",4832,1
"295",2010,"stevens",4435,1
"296",2014,"stevens",4284,1
"297",2002,"st. louis",96696,1
"298",2006,"st. louis",90517,1
"299",2010,"st. louis",85295,1
"300",2014,"st. louis",81928,1
"301",2002,"swift",5126,1
"302",2006,"swift",4743,1
"303",2010,"swift",4522,1
"304",2014,"swift",4159,1
"305",2002,"todd",10668,1
"306",2006,"todd",10327,1
"307",2010,"todd",9395,1
"308",2014,"todd",8959,1
"309",2002,"traverse",1959,1
"310",2006,"traverse",1905,1
"311",2010,"traverse",1807,1
"312",2014,"traverse",1564,1
"313",2002,"wabasha",10233,1
"314",2006,"wabasha",9485,1
"315",2010,"wabasha",9028,1
"316",2014,"wabasha",8469,1
"317",2002,"wadena",6138,1
"318",2006,"wadena",5974,1
"319",2010,"wadena",5474,1
"320",2014,"wadena",5157,1
"321",2002,"waseca",8697,1
"322",2006,"waseca",8171,1
"323",2010,"waseca",7937,1
"324",2014,"waseca",6616,1
"325",2002,"washington",104759,1
"326",2006,"washington",104853,1
"327",2010,"washington",103725,1
"328",2014,"washington",96276,1
"329",2002,"watonwan",5034,1
"330",2006,"watonwan",4609,1
"331",2010,"watonwan",4282,1
"332",2014,"watonwan",3734,1
"333",2002,"wilkin",2915,1
"334",2006,"wilkin",2830,1
"335",2010,"wilkin",2458,1
"336",2014,"wilkin",2354,1
"337",2002,"winona",20235,1
"338",2006,"winona",19926,1
"339",2010,"winona",18455,1
"340",2014,"winona",16029,1
"341",2002,"wright",45167,1
"342",2006,"wright",47727,1
"343",2010,"wright",48199,1
"344",2014,"wright",45007,1
"345",2002,"yellow medicine",4883,1
"346",2006,"yellow medicine",4880,1
"347",2010,"yellow medicine",4174,1
"348",2014,"yellow medicine",4019,1
"349",2008,"aitkin",9455,0
"350",2012,"aitkin",9219,0
"351",2016,"aitkin",9316,0
"352",2008,"anoka",182559,0
"353",2012,"anoka",187085,0
"354",2016,"anoka",187070,0
"355",2008,"becker",17038,0
"356",2012,"becker",16471,0
"357",2016,"becker",17375,0
"358",2008,"beltrami",22313,0
"359",2012,"beltrami",22189,0
"360",2016,"beltrami",21718,0
"361",2008,"benton",19429,0
"362",2012,"benton",19755,0
"363",2016,"benton",20222,0
"364",2008,"big stone",3023,0
"365",2012,"big stone",2816,0
"366",2016,"big stone",2790,0
"367",2008,"blue earth",35183,0
"368",2012,"blue earth",34463,0
"369",2016,"blue earth",33816,0
"370",2008,"brown",13680,0
"371",2012,"brown",14030,0
"372",2016,"brown",13925,0
"373",2008,"carlton",18530,0
"374",2012,"carlton",18545,0
"375",2016,"carlton",18374,0
"376",2008,"carver",49806,0
"377",2012,"carver",53079,0
"378",2016,"carver",56156,0
"379",2008,"cass",16388,0
"380",2012,"cass",16211,0
"381",2016,"cass",16154,0
"382",2008,"chippewa",6393,0
"383",2012,"chippewa",6248,0
"384",2016,"chippewa",6284,0
"385",2008,"chisago",29411,0
"386",2012,"chisago",29578,0
"387",2016,"chisago",30425,0
"388",2008,"clay",29334,0
"389",2012,"clay",29032,0
"390",2016,"clay",29685,0
"391",2008,"clearwater",4333,0
"392",2012,"clearwater",4231,0
"393",2016,"clearwater",4276,0
"394",2008,"cook",3362,0
"395",2012,"cook",3343,0
"396",2016,"cook",3437,0
"397",2008,"cottonwood",6084,0
"398",2012,"cottonwood",5916,0
