"CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","POVERTY RATE >25","Percent Married","Percent Divorced","EMPLOYMENT ESTIMATE","INCOME/BENEFITS","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","AGE1519","AGE2024","AGE2529","AGE18ABOVE","POPULATION"
"Cass County, Minnesota",24352,106,2935,131,74,26,2014,1831,39.6,2.6,20604,36.2,13.7,5.9,33.3,60.7,10.4,23143,12944,28499,28155,3,83,171,87,6.3,4.5,4.6,77.9,28499
"Cass County, Minnesota",24352,106,2935,131,74,26,2014,1831,39.6,2.6,20604,36.2,13.7,5.9,33.3,60.7,10.4,23143,12944,28499,28155,3,83,171,87,5.6,4.5,4.5,78.7,28499
"Cass County, Minnesota",24352,106,2935,131,74,26,2014,1831,39.6,2.6,20604,36.2,13.7,5.9,33.3,60.7,10.4,23084,12876,28499,28155,3,83,171,87,6.3,4.5,4.6,77.9,28499
"Cass County, Minnesota",24352,106,2935,131,74,26,2014,1831,39.6,2.6,20604,36.2,13.7,5.9,33.3,60.7,10.4,23084,12876,28499,28155,3,83,171,87,5.6,4.5,4.5,78.7,28499
"Chippewa County, Minnesota",11493,94,61,68,117,149,2014,901,28.1,6.5,8528,34.2,13.3,4.3,23.7,55.5,11.5,9915,5193,12235,11711,16,32,104,372,6.9,5.1,5.2,76.1,12235
"Chippewa County, Minnesota",11493,94,61,68,117,149,2014,901,28.1,6.5,8528,34.2,13.3,4.3,23.7,55.5,11.5,9915,5193,12235,11711,16,32,104,372,6.5,5.3,6,77.1,12235
"Chippewa County, Minnesota",11493,94,61,68,117,149,2014,901,28.1,6.5,8528,34.2,13.3,4.3,23.7,55.5,11.5,9803,5050,12235,11711,16,32,104,372,6.9,5.1,5.2,76.1,12235
"Chippewa County, Minnesota",11493,94,61,68,117,149,2014,901,28.1,6.5,8528,34.2,13.3,4.3,23.7,55.5,11.5,9803,5050,12235,11711,16,32,104,372,6.5,5.3,6,77.1,12235
"Chisago County, Minnesota",51396,613,293,374,7,256,2014,4202,38.2,4.6,36419,34.3,15.3,6.3,12.3,57.1,10.8,40590,19328,53798,52656,17,259,448,418,7,5.1,5.9,73.7,53798
"Chisago County, Minnesota",51396,613,293,374,7,256,2014,4202,38.2,4.6,36419,34.3,15.3,6.3,12.3,57.1,10.8,40590,19328,53798,52656,17,259,448,418,7.2,5.3,5.4,75.5,53798
"Chisago County, Minnesota",51396,613,293,374,7,256,2014,4202,38.2,4.6,36419,34.3,15.3,6.3,12.3,57.1,10.8,42215,19757,53798,52656,17,259,448,418,7,5.1,5.9,73.7,53798
"Chisago County, Minnesota",51396,613,293,374,7,256,2014,4202,38.2,4.6,36419,34.3,15.3,6.3,12.3,57.1,10.8,42215,19757,53798,52656,17,259,448,418,7.2,5.3,5.4,75.5,53798
"Clay County, Minnesota",55694,960,765,690,20,467,2014,10204,23.6,7.9,36106,28.8,22.1,8.4,20.5,49.2,8.6,45278,21684,60249,57926,17,356,1000,950,10.8,11,6.4,76.9,60249
"Clay County, Minnesota",55694,960,765,690,20,467,2014,10204,23.6,7.9,36106,28.8,22.1,8.4,20.5,49.2,8.6,45278,21684,60249,57926,17,356,1000,950,9,11.6,7,76.9,60249
"Clay County, Minnesota",55694,960,765,690,20,467,2014,10204,23.6,7.9,36106,28.8,22.1,8.4,20.5,49.2,8.6,47682,22545,60249,57926,17,356,1000,950,10.8,11,6.4,76.9,60249
"Clay County, Minnesota",55694,960,765,690,20,467,2014,10204,23.6,7.9,36106,28.8,22.1,8.4,20.5,49.2,8.6,47682,22545,60249,57926,17,356,1000,950,9,11.6,7,76.9,60249
"Clearwater County, Minnesota",7590,17,766,41,7,7,2014,593,37.6,3.4,5985,38.5,10.2,3.9,31,59.3,10.5,6717,3698,8735,8595,6,53,47,34,6.7,4.8,5.2,75.7,8735
"Clearwater County, Minnesota",7590,17,766,41,7,7,2014,593,37.6,3.4,5985,38.5,10.2,3.9,31,59.3,10.5,6717,3698,8735,8595,6,53,47,34,6.2,4.6,5.1,75.3,8735
"Clearwater County, Minnesota",7590,17,766,41,7,7,2014,593,37.6,3.4,5985,38.5,10.2,3.9,31,59.3,10.5,6813,3539,8735,8595,6,53,47,34,6.7,4.8,5.2,75.7,8735
"Clearwater County, Minnesota",7590,17,766,41,7,7,2014,593,37.6,3.4,5985,38.5,10.2,3.9,31,59.3,10.5,6813,3539,8735,8595,6,53,47,34,6.2,4.6,5.1,75.3,8735
"Cook County, Minnesota",4534,50,366,44,21,55,2014,265,27.2,9.4,4104,24.5,24.2,16.4,19.6,62.4,12.3,4455,2607,5197,4894,9,62,68,164,4.2,4.2,5.2,82.8,5197
"Cook County, Minnesota",4534,50,366,44,21,55,2014,265,27.2,9.4,4104,24.5,24.2,16.4,19.6,62.4,12.3,4455,2607,5197,4894,9,62,68,164,3.7,4.7,4.8,84.1,5197
"Cook County, Minnesota",4534,50,366,44,21,55,2014,265,27.2,9.4,4104,24.5,24.2,16.4,19.6,62.4,12.3,4507,2627,5197,4894,9,62,68,164,4.2,4.2,5.2,82.8,5197
"Cook County, Minnesota",4534,50,366,44,21,55,2014,265,27.2,9.4,4104,24.5,24.2,16.4,19.6,62.4,12.3,4507,2627,5197,4894,9,62,68,164,3.7,4.7,4.8,84.1,5197
"Cottonwood County, Minnesota",10657,65,51,257,26,422,2014,891,33.7,4.7,8027,36.7,11.9,5.1,31,58.4,9.9,9232,4912,11676,11165,0,46,246,219,6.3,4.1,5.9,75.6,11676
"Cottonwood County, Minnesota",10657,65,51,257,26,422,2014,891,33.7,4.7,8027,36.7,11.9,5.1,31,58.4,9.9,9232,4912,11676,11165,0,46,246,219,6,5.4,4.5,76.4,11676
"Cottonwood County, Minnesota",10657,65,51,257,26,422,2014,891,33.7,4.7,8027,36.7,11.9,5.1,31,58.4,9.9,9200,4855,11676,11165,0,46,246,219,6.3,4.1,5.9,75.6,11676
"Cottonwood County, Minnesota",10657,65,51,257,26,422,2014,891,33.7,4.7,8027,36.7,11.9,5.1,31,58.4,9.9,9200,4855,11676,11165,0,46,246,219,6,5.4,4.5,76.4,11676
"Crow Wing County, Minnesota",60757,480,712,315,0,86,2014,4597,32.3,6,44110,31.1,15.7,7.3,22.3,57.1,11.4,49125,26913,62900,61652,13,212,527,496,6.5,5.2,5.7,76.5,62900
"Crow Wing County, Minnesota",60757,480,712,315,0,86,2014,4597,32.3,6,44110,31.1,15.7,7.3,22.3,57.1,11.4,49125,26913,62900,61652,13,212,527,496,5.8,5.3,5.4,77.4,62900
"Crow Wing County, Minnesota",60757,480,712,315,0,86,2014,4597,32.3,6,44110,31.1,15.7,7.3,22.3,57.1,11.4,50407,26654,62900,61652,13,212,527,496,6.5,5.2,5.7,76.5,62900
"Crow Wing County, Minnesota",60757,480,712,315,0,86,2014,4597,32.3,6,44110,31.1,15.7,7.3,22.3,57.1,11.4,50407,26654,62900,61652,13,212,527,496,5.8,5.3,5.4,77.4,62900
"Dakota County, Minnesota",342532,20814,1402,18164,235,10740,2014,31865,30.3,13.1,270043,22.1,27.3,12.3,20.1,55.3,10.2,300150,151122,405521,367037,796,2868,18853,15967,7.1,5.7,6.9,73.2,405521
"Dakota County, Minnesota",342532,20814,1402,18164,235,10740,2014,31865,30.3,13.1,270043,22.1,27.3,12.3,20.1,55.3,10.2,300150,151122,405521,367037,796,2868,18853,15967,6.8,5.5,6.6,74.4,405521
"Dakota County, Minnesota",342532,20814,1402,18164,235,10740,2014,31865,30.3,13.1,270043,22.1,27.3,12.3,20.1,55.3,10.2,314309,155220,405521,367037,796,2868,18853,15967,7.1,5.7,6.9,73.2,405521
"Dakota County, Minnesota",342532,20814,1402,18164,235,10740,2014,31865,30.3,13.1,270043,22.1,27.3,12.3,20.1,55.3,10.2,314309,155220,405521,367037,796,2868,18853,15967,6.8,5.5,6.6,74.4,405521
