"","CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR"
"129","Crow Wing County, Minnesota","60995","389","747","288","0","46",2016
"130","Dakota County, Minnesota","344555","22082","1168","19126","52","11411",2016
"131","Dodge County, Minnesota","19633","67","54","181","0","158",2016
"132","Douglas County, Minnesota","35891","212","138","79","0","139",2016
"133","Faribault County, Minnesota","13762","28","11","47","0","78",2016
"134","Fillmore County, Minnesota","20497","87","16","91","2","33",2016
"135","Freeborn County, Minnesota","29129","406","88","439","7","325",2016
"136","Goodhue County, Minnesota","44289","562","526","245","0","58",2016
"137","Grant County, Minnesota","5792","2","26","7","0","12",2016
"138","Hennepin County, Minnesota","891912","150522","7999","83228","487","32774",2016
"139","Houston County, Minnesota","18267","87","39","76","5","34",2016
"140","Hubbard County, Minnesota","19464","136","442","125","4","60",2016
"141","Isanti County, Minnesota","36830","228","176","336","9","144",2016
"142","Itasca County, Minnesota","42163","224","1594","191","5","98",2016
"143","Jackson County, Minnesota","9713","23","9","223","3","93",2016
"144","Kanabec County, Minnesota","15385","54","155","76","1","30",2016
"145","Kandiyohi County, Minnesota","37765","1566","234","308","0","2047",2016
"146","Kittson County, Minnesota","4347","28","9","17","0","2",2016
"147","Koochiching County, Minnesota","12106","119","471","57","0","3",2016
"148","Lac qui Parle County, Minnesota","6723","70","14","28","0","26",2016
"149","Lake County, Minnesota","10390","96","56","0","7","45",2016
"150","Lake of the Woods County, Minnesota","3667","4","12","45","0","0",2016
"151","Le Sueur County, Minnesota","26471","213","95","125","2","451",2016
"152","Lincoln County, Minnesota","5652","13","39","8","0","40",2016
"153","Lyon County, Minnesota","22857","763","139","902","0","770",2016
"154","McLeod County, Minnesota","34309","59","75","221","0","698",2016
"155","Mahnomen County, Minnesota","2615","19","2273","24","22","37",2016
"156","Marshall County, Minnesota","9168","21","32","20","2","27",2016
"157","Martin County, Minnesota","19708","54","19","152","2","33",2016
"158","Meeker County, Minnesota","22500","125","73","88","23","71",2016
"159","Mille Lacs County, Minnesota","23495","136","1322","110","0","75",2016
"160","Morrison County, Minnesota","31929","196","49","167","0","130",2016
"161","Mower County, Minnesota","35964","1327","43","833","45","299",2016
"162","Murray County, Minnesota","8191","35","25","66","33","39",2016
"163","Nicollet County, Minnesota","31025","951","74","508","0","252",2016
"164","Nobles County, Minnesota","17329","907","98","1303","10","1731",2016
"165","Norman County, Minnesota","6172","50","98","31","14","61",2016
"166","Olmsted County, Minnesota","127969","7903","418","8948","14","1495",2016
"167","Otter Tail County, Minnesota","55163","782","206","377","7","449",2016
"168","Pennington County, Minnesota","13268","234","209","108","42","57",2016
"169","Pine County, Minnesota","26585","615","705","149","13","177",2016
"170","Pipestone County, Minnesota","8609","125","124","91","0","121",2016
"171","Polk County, Minnesota","29368","446","373","240","16","318",2016
"172","Pope County, Minnesota","10679","49","47","38","0","57",2016
"173","Ramsey County, Minnesota","363250","59572","3401","72239","174","10430",2016
"174","Red Lake County, Minnesota","3846","23","66","12","0","27",2016
"175","Redwood County, Minnesota","13931","102","768","490","0","140",2016
"176","Renville County, Minnesota","14000","45","204","75","0","504",2016
"177","Rice County, Minnesota","57784","2718","271","1432","49","1708",2016
"178","Rock County, Minnesota","9208","75","64","88","0","45",2016
"179","Roseau County, Minnesota","14569","117","220","443","2","25",2016
"180","St. Louis County, Minnesota","185370","3053","3826","2111","77","612",2016
"181","Scott County, Minnesota","118278","4202","979","8235","173","3209",2016
"182","Sherburne County, Minnesota","85480","1901","471","1032","11","445",2016
"183","Sibley County, Minnesota","14476","70","29","97","3","137",2016
"184","Stearns County, Minnesota","138458","6908","537","3064","22","2001",2016
"185","Steele County, Minnesota","33101","1079","50","433","5","1363",2016
"186","Stevens County, Minnesota","9121","82","187","164","14","38",2016
"187","Swift County, Minnesota","9073","172","21","17","0","139",2016
"188","Todd County, Minnesota","23266","69","58","116","0","345",2016
"189","Traverse County, Minnesota","3149","15","137","0","0","16",2016
"190","Wabasha County, Minnesota","20755","46","51","88","0","62",2016
"191","Wadena County, Minnesota","13260","111","119","35","0","28",2016
"192","Waseca County, Minnesota","17752","509","133","93","0","225",2016
"193","Washington County, Minnesota","216007","9796","944","12605","111","1910",2016
"194","Watonwan County, Minnesota","9970","70","50","131","0","691",2016
"195","Wilkin County, Minnesota","6174","47","99","0","0","7",2016
"196","Winona County, Minnesota","48034","755","170","1342","12","232",2016
"197","Wright County, Minnesota","123077","1480","419","1412","9","1195",2016
"198","Yellow Medicine County, Minnesota","9288","24","331","61","0","134",2016
"199","Anoka County, Minnesota","290028","21900","1863","15876","116","8709",2017
"200","Blue Earth County, Minnesota","60898","2315","0","1802","13","132",2017
"201","Carver County, Minnesota","94168","1754","355","2262","0","774",2017
"202","Dakota County, Minnesota","345762","26730","1108","19966","491","11674",2017
"203","Hennepin County, Minnesota","895725","167646","10508","90495","265","43897",2017
"204","Olmsted County, Minnesota","130111","9570","329","8327","0","1158",2017
"205","Ramsey County, Minnesota","362535","67086","3460","83579","123","12048",2017
"206","Rice County, Minnesota","56946","3596","163","1624","82","2718",2017
"207","St. Louis County, Minnesota","184470","3409","3642","2180","88","563",2017
"208","Scott County, Minnesota","122558","6566","1261","9081","39","3211",2017
"209","Sherburne County, Minnesota","87215","2490","275","1262","0","1487",2017
"210","Stearns County, Minnesota","139326","9654","335","3869","15","2124",2017
"211","Washington County, Minnesota","220308","12153","1083","15352","120","950",2017
"212","Wright County, Minnesota","126762","2498","571","1111","0","1023",2017
