"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"123","Chippewa County, Minnesota",2016,"6006","6120","5.8","5.4","5.6","77.0"
"124","Chisago County, Minnesota",2016,"27920","26121","6.8","5.5","5.4","76.4"
"125","Clay County, Minnesota",2016,"30311","31091","8.6","11.4","7.0","76.6"
"126","Clearwater County, Minnesota",2016,"4440","4324","6.3","4.9","4.8","75.3"
"127","Cook County, Minnesota",2016,"2606","2609","4.3","5.1","4.6","84.2"
"128","Cottonwood County, Minnesota",2016,"5669","5888","5.7","5.5","4.7","76.2"
"129","Crow Wing County, Minnesota",2016,"31646","31675","5.5","5.4","5.2","77.8"
"130","Dakota County, Minnesota",2016,"202188","209214","6.6","5.8","6.3","75.0"
"131","Dodge County, Minnesota",2016,"10198","10163","7.1","5.3","5.2","72.4"
"132","Douglas County, Minnesota",2016,"18388","18474","5.4","5.7","5.6","78.8"
"133","Faribault County, Minnesota",2016,"7060","7059","5.9","4.6","4.9","78.3"
"134","Fillmore County, Minnesota",2016,"10470","10407","5.8","5.0","4.6","76.0"
"135","Freeborn County, Minnesota",2016,"15350","15401","5.5","5.3","5.3","78.1"
"136","Goodhue County, Minnesota",2016,"23180","23270","6.3","5.3","5.2","77.2"
"137","Grant County, Minnesota",2016,"2972","2971","5.2","4.7","4.3","78.1"
"138","Hennepin County, Minnesota",2016,"596243","613022","5.9","6.6","8.7","77.7"
"139","Houston County, Minnesota",2016,"9390","9401","5.8","5.1","4.7","78.5"
"140","Hubbard County, Minnesota",2016,"10302","10338","5.4","4.0","4.0","78.3"
"141","Isanti County, Minnesota",2016,"19431","19030","6.5","5.4","6.0","75.4"
"142","Itasca County, Minnesota",2016,"22906","22450","6.1","4.9","4.6","78.7"
"143","Jackson County, Minnesota",2016,"5130","5033","5.9","5.4","5.4","77.7"
"144","Kanabec County, Minnesota",2016,"8062","7856","6.2","5.3","4.7","78.0"
"145","Kandiyohi County, Minnesota",2016,"21312","21198","5.7","7.0","5.9","76.1"
"146","Kittson County, Minnesota",2016,"2243","2193","6.5","5.0","3.7","78.4"
"147","Koochiching County, Minnesota",2016,"6461","6469","5.7","5.0","4.5","80.6"
"148","Lac qui Parle County, Minnesota",2016,"3453","3463","6.0","4.6","3.6","79.9"
"149","Lake County, Minnesota",2016,"5481","5240","5.0","4.1","4.8","81.7"
"150","Lake of the Woods County, Minnesota",2016,"2030","1871","3.9","6.0","3.1","81.5"
"151","Le Sueur County, Minnesota",2016,"14005","13645","6.1","5.4","5.1","75.6"
"152","Lincoln County, Minnesota",2016,"2914","2879","5.5","4.3","4.5","77.5"
"153","Lyon County, Minnesota",2016,"12840","12830","7.4","7.7","6.9","75.3"
"154","McLeod County, Minnesota",2016,"17807","18119","6.1","5.4","5.7","76.2"
"155","Mahnomen County, Minnesota",2016,"2765","2715","6.5","5.6","4.9","69.2"
"156","Marshall County, Minnesota",2016,"4793","4613","6.1","5.0","5.0","76.9"
"157","Martin County, Minnesota",2016,"9989","10204","5.7","5.2","4.9","78.2"
"158","Meeker County, Minnesota",2016,"11734","11360","6.4","4.9","4.8","75.4"
"159","Mille Lacs County, Minnesota",2016,"12944","12844","6.3","5.0","5.6","75.8"
"160","Morrison County, Minnesota",2016,"16617","16233","6.2","5.2","5.3","76.4"
"161","Mower County, Minnesota",2016,"19689","19559","6.3","6.4","5.5","75.1"
"162","Murray County, Minnesota",2016,"4197","4266","6.1","4.5","4.2","78.9"
"163","Nicollet County, Minnesota",2016,"16586","16640","8.6","8.1","7.0","77.8"
"164","Nobles County, Minnesota",2016,"11130","10599","7.2","6.0","6.5","73.4"
"165","Norman County, Minnesota",2016,"3332","3306","6.5","5.0","4.3","77.0"
"166","Olmsted County, Minnesota",2016,"73514","76590","6.0","5.7","7.0","75.2"
"167","Otter Tail County, Minnesota",2016,"28994","28700","6.1","5.0","4.5","78.5"
"168","Pennington County, Minnesota",2016,"7121","7035","6.3","6.1","7.1","76.9"
"169","Pine County, Minnesota",2016,"15548","13519","5.7","5.0","5.6","79.3"
"170","Pipestone County, Minnesota",2016,"4533","4752","6.4","5.0","4.8","75.4"
"171","Polk County, Minnesota",2016,"15931","15619","6.7","7.1","6.0","76.5"
"172","Pope County, Minnesota",2016,"5543","5432","5.3","4.6","5.0","78.8"
"173","Ramsey County, Minnesota",2016,"258733","272795","6.6","7.8","8.7","76.6"
"174","Red Lake County, Minnesota",2016,"2056","1986","5.3","4.6","4.6","75.4"
"175","Redwood County, Minnesota",2016,"7830","7748","6.7","4.9","4.6","75.6"
"176","Renville County, Minnesota",2016,"7603","7392","6.3","5.0","4.6","77.6"
"177","Rice County, Minnesota",2016,"33132","31984","8.7","9.7","5.4","77.8"
"178","Rock County, Minnesota",2016,"4668","4886","6.3","4.8","4.6","74.8"
"179","Roseau County, Minnesota",2016,"7999","7610","7.1","5.4","4.6","75.1"
"180","St. Louis County, Minnesota",2016,"100702","99651","6.9","9.2","5.8","80.8"
