"","CTYNAME","POPULATION","YEAR"
"192","Waseca County, Minnesota","19034",2016
"193","Washington County, Minnesota","248745",2016
"194","Watonwan County, Minnesota","10996",2016
"195","Wilkin County, Minnesota","6479",2016
"196","Winona County, Minnesota","51145",2016
"197","Wright County, Minnesota","129922",2016
"198","Yellow Medicine County, Minnesota","10038",2016
"199","Anoka County, Minnesota","351373",2017
"200","Blue Earth County, Minnesota","66973",2017
"201","Carver County, Minnesota","102119",2017
"202","Dakota County, Minnesota","421751",2017
"203","Hennepin County, Minnesota","1252024",2017
"204","Olmsted County, Minnesota","154930",2017
"205","Ramsey County, Minnesota","547974",2017
"206","Rice County, Minnesota","65968",2017
"207","St. Louis County, Minnesota","200000",2017
"208","Scott County, Minnesota","145827",2017
"209","Sherburne County, Minnesota","94570",2017
"210","Stearns County, Minnesota","157822",2017
"211","Washington County, Minnesota","256348",2017
"212","Wright County, Minnesota","134286",2017
