"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE2024_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_TOTAL","AGE2529_MALE","AGE2529_FEMALE","AGE18ABOVE"
"70","Martin County, Minnesota",2010,"10267","10598","4.6","4.9","4.3","4.6","4.7","4.5","77.1"
"71","Meeker County, Minnesota",2010,"11808","11563","5.0","5.4","4.5","5.2","5.2","5.2","74.5"
"72","Mille Lacs County, Minnesota",2010,"13003","13072","5.0","4.9","5.2","6.3","6.6","6.0","74.2"
"73","Morrison County, Minnesota",2010,"16687","16406","5.4","5.6","5.2","6.0","6.4","5.6","75.1"
"74","Mower County, Minnesota",2010,"19234","19621","5.9","6.4","5.4","5.8","6.3","5.4","75.0"
"75","Murray County, Minnesota",2010,"4362","4417","3.9","4.1","3.7","3.9","4.1","3.6","78.2"
"76","Nicollet County, Minnesota",2010,"16248","16023","11.3","11.1","11.5","6.6","7.2","6.0","77.4"
"77","Nobles County, Minnesota",2010,"10724","10306","6.0","5.9","6.1","6.9","8.1","5.8","74.4"
"78","Norman County, Minnesota",2010,"3419","3446","3.6","3.7","3.5","4.6","5.0","4.1","75.8"
"79","Olmsted County, Minnesota",2010,"69157","72087","6.1","6.0","6.3","7.7","7.7","7.8","74.6"
"80","Otter Tail County, Minnesota",2010,"28764","28775","4.7","4.9","4.6","4.8","5.0","4.6","77.9"
"81","Pennington County, Minnesota",2010,"6866","6996","6.4","6.7","6.1","6.7","7.4","6.1","76.2"
"82","Pine County, Minnesota",2010,"15520","13893","4.9","5.2","4.7","6.1","6.7","5.3","77.0"
"83","Pipestone County, Minnesota",2010,"4652","4918","4.5","4.6","4.5","4.7","5.2","4.2","74.8"
"84","Polk County, Minnesota",2010,"15712","15624","7.3","8.1","6.5","5.5","5.8","5.3","76.4"
"85","Pope County, Minnesota",2010,"5592","5472","4.9","5.1","4.8","5.2","5.5","4.8","79.0"
"86","Ramsey County, Minnesota",2010,"243806","259307","8.7","8.6","8.8","8.3","8.4","8.2","76.5"
"87","Red Lake County, Minnesota",2010,"2081","2013","4.4","4.9","3.9","6.4","6.2","6.7","76.5"
"88","Redwood County, Minnesota",2010,"7885","8184","4.6","5.0","4.2","4.8","4.6","4.9","75.1"
"89","Renville County, Minnesota",2010,"8017","7990","5.0","5.3","4.8","4.5","5.1","4.0","76.3"
"90","Rice County, Minnesota",2010,"32082","31005","9.9","10.9","8.9","5.8","6.1","5.4","76.0"
"91","Rock County, Minnesota",2010,"4767","4839","4.7","4.8","4.5","5.0","5.0","5.0","74.4"
"92","Roseau County, Minnesota",2010,"8096","7768","4.4","4.8","4.0","4.8","4.9","4.7","73.1"
"93","St. Louis County, Minnesota",2010,"99585","99887","9.0","9.4","8.5","5.5","5.9","5.2","80.1"
"94","Scott County, Minnesota",2010,"62814","63325","4.5","4.8","4.1","6.4","6.1","6.7","69.6"
"95","Sherburne County, Minnesota",2010,"44437","42386","6.0","6.3","5.6","6.9","6.8","7.0","70.4"
"96","Sibley County, Minnesota",2010,"7689","7530","4.6","4.7","4.6","5.3","5.5","5.1","74.3"
"97","Stearns County, Minnesota",2010,"74628","73299","11.3","11.6","11.0","6.8","7.3","6.4","76.8"
"98","Steele County, Minnesota",2010,"17916","18518","5.1","5.1","5.0","6.2","6.4","5.9","73.5"
"99","Stevens County, Minnesota",2010,"4765","4946","13.2","12.9","13.5","5.1","5.9","4.4","79.5"
"100","Swift County, Minnesota",2010,"5067","4879","4.1","4.3","3.9","5.6","6.6","4.6","77.6"
"101","Todd County, Minnesota",2010,"12651","12153","5.5","5.8","5.2","5.0","5.4","4.6","75.1"
"102","Traverse County, Minnesota",2010,"1847","1810","3.6","4.0","3.2","5.3","5.9","4.6","78.8"
"103","Wabasha County, Minnesota",2010,"10848","10895","5.0","5.0","5.1","5.1","5.4","4.7","76.2"
"104","Wadena County, Minnesota",2010,"6844","6965","4.6","5.2","4.1","4.8","5.0","4.6","76.5"
"105","Waseca County, Minnesota",2010,"9170","9998","5.1","5.4","4.9","6.9","6.3","7.4","76.3"
"106","Washington County, Minnesota",2010,"115094","117442","5.2","5.4","4.9","5.9","6.0","5.7","72.8"
"107","Watonwan County, Minnesota",2010,"5631","5581","5.1","5.9","4.3","5.6","5.6","5.7","75.1"
"108","Wilkin County, Minnesota",2010,"3368","3268","4.6","4.9","4.3","4.6","4.8","4.4","76.0"
"109","Winona County, Minnesota",2010,"25014","26290","14.4","14.0","14.8","6.1","6.6","5.6","80.1"
"110","Wright County, Minnesota",2010,"60689","60075","4.7","4.7","4.6","6.8","6.7","6.8","69.9"
"111","Yellow Medicine County, Minnesota",2010,"5359","5155","5.4","6.0","4.8","4.8","4.8","4.7","76.4"
"112","Aitkin County, Minnesota",2012,"8223","7943","3.3","3.3","3.3","4.0","3.9","4.1","82.3"
"113","Anoka County, Minnesota",2012,"165788","165861","5.7","5.9","5.5","6.5","6.6","6.4","74.1"
"114","Becker County, Minnesota",2012,"16361","16239","4.8","4.8","4.7","5.3","5.3","5.2","75.6"
"115","Beltrami County, Minnesota",2012,"22354","22298","9.9","10.3","9.5","6.6","6.7","6.5","74.7"
"116","Benton County, Minnesota",2012,"19270","19290","8.0","8.1","7.9","8.7","8.8","8.6","75.2"
"117","Big Stone County, Minnesota",2012,"2571","2679","3.6","3.9","3.3","4.5","4.5","4.4","79.0"
"118","Blue Earth County, Minnesota",2012,"32050","31941","16.6","17.3","16.0","7.9","8.8","7.0","80.7"
"119","Brown County, Minnesota",2012,"12744","13028","6.6","7.1","6.1","5.3","5.6","5.0","78.0"
"120","Carlton County, Minnesota",2012,"18385","16919","5.0","5.4","4.5","5.8","6.1","5.3","76.5"
"121","Carver County, Minnesota",2012,"45338","46017","4.3","4.5","4.2","5.5","5.4","5.6","70.3"
"122","Cass County, Minnesota",2012,"14599","13920","4.3","4.5","4.1","4.6","4.6","4.7","78.4"
"123","Chippewa County, Minnesota",2012,"6061","6266","4.9","5.1","4.7","6.0","6.6","5.4","76.4"
"124","Chisago County, Minnesota",2012,"27708","25818","5.1","5.8","4.2","5.7","6.0","5.3","74.4"
"125","Clay County, Minnesota",2012,"29097","29840","11.6","11.1","12.2","6.9","7.4","6.4","76.9"
"126","Clearwater County, Minnesota",2012,"4434","4238","4.4","5.0","3.8","5.2","5.2","5.3","75.2"
"127","Cook County, Minnesota",2012,"2657","2549","5.2","6.4","4.0","4.5","4.1","4.8","83.1"
"128","Cottonwood County, Minnesota",2012,"5726","5939","5.2","5.1","5.2","5.9","5.8","5.9","76.3"
"129","Crow Wing County, Minnesota",2012,"31154","31367","5.3","5.1","5.4","5.8","6.0","5.5","77.0"
"130","Dakota County, Minnesota",2012,"196203","203240","5.5","5.7","5.4","6.8","6.9","6.8","73.8"
"131","Dodge County, Minnesota",2012,"10048","10023","4.7","5.0","4.4","5.7","5.9","5.5","71.1"
"132","Douglas County, Minnesota",2012,"18090","18077","5.7","6.5","5.0","5.9","6.1","5.7","78.5"
"133","Faribault County, Minnesota",2012,"7282","7264","4.5","5.1","3.9","4.8","5.2","4.4","78.1"
"134","Fillmore County, Minnesota",2012,"10398","10482","4.7","5.0","4.4","5.3","5.5","5.2","76.0"
"135","Freeborn County, Minnesota",2012,"15573","15615","5.1","5.8","4.5","5.3","5.2","5.5","77.9"
"136","Goodhue County, Minnesota",2012,"22951","23193","4.8","4.9","4.6","5.5","5.6","5.3","76.4"
"137","Grant County, Minnesota",2012,"3014","3002","4.7","5.2","4.1","5.2","5.3","5.1","78.8"
"138","Hennepin County, Minnesota",2012,"569482","588557","7.2","7.3","7.1","8.8","8.9","8.7","77.3"
"139","Houston County, Minnesota",2012,"9360","9641","4.4","4.8","4.0","5.4","5.7","5.1","77.3"
"140","Hubbard County, Minnesota",2012,"10330","10042","3.9","4.2","3.6","4.6","4.9","4.4","78.2"
"141","Isanti County, Minnesota",2012,"19131","18873","5.6","5.9","5.4","6.4","6.4","6.4","74.0"
"142","Itasca County, Minnesota",2012,"22709","22343","4.7","5.0","4.4","4.9","4.9","4.8","78.3"
"143","Jackson County, Minnesota",2012,"5203","5070","4.5","5.0","4.0","5.1","5.5","4.8","77.5"
"144","Kanabec County, Minnesota",2012,"8209","8046","4.5","4.7","4.3","5.3","5.3","5.4","76.5"
"145","Kandiyohi County, Minnesota",2012,"21226","20924","6.7","6.9","6.5","6.0","6.5","5.5","76.1"
"146","Kittson County, Minnesota",2012,"2265","2282","4.3","4.1","4.5","3.8","4.1","3.5","78.3"
"147","Koochiching County, Minnesota",2012,"6639","6654","4.2","4.8","3.6","4.8","4.6","4.9","79.1"
"148","Lac qui Parle County, Minnesota",2012,"3616","3624","3.2","3.6","2.8","4.3","4.8","3.8","79.0"
"149","Lake County, Minnesota",2012,"5535","5314","4.4","4.3","4.6","5.0","5.4","4.6","81.4"
"150","Lake of the Woods County, Minnesota",2012,"2131","1908","4.1","4.3","3.9","3.8","3.3","4.3","80.2"
"151","Le Sueur County, Minnesota",2012,"13966","13778","4.7","4.7","4.7","5.9","6.2","5.6","74.7"
"152","Lincoln County, Minnesota",2012,"2942","2934","4.3","4.8","3.7","4.6","4.5","4.6","78.0"
"153","Lyon County, Minnesota",2012,"12668","13046","9.4","9.0","9.8","7.4","8.7","6.2","75.8"
"154","McLeod County, Minnesota",2012,"18177","18350","5.2","5.6","4.8","5.9","6.2","5.6","74.8"
"155","Mahnomen County, Minnesota",2012,"2730","2712","5.6","4.9","6.3","5.3","5.4","5.3","70.3"
"156","Marshall County, Minnesota",2012,"4820","4655","4.0","4.3","3.8","5.1","5.3","4.8","76.9"
"157","Martin County, Minnesota",2012,"10213","10514","4.3","4.6","4.1","5.0","5.0","4.9","77.7"
"158","Meeker County, Minnesota",2012,"11774","11488","4.7","5.2","4.2","5.4","5.3","5.5","74.7"
"159","Mille Lacs County, Minnesota",2012,"13041","12963","5.2","5.3","5.1","6.2","6.2","6.1","74.8"
